e11,e22,e12,s11,s22,s12,timestep,simulation_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.00028205,3.66899e-05,-6.94471e-05,15.1766,2.89261,-1.73844,1.0,8266
0.000564101,7.33797e-05,-0.000138894,30.3533,5.78522,-3.47689,2.0,8266
0.000846151,0.00011007,-0.000208341,45.5299,8.67783,-5.21533,3.0,8266
0.0011282,0.000146759,-0.000277788,60.7066,11.5704,-6.95377,4.0,8266
0.00141025,0.000183449,-0.000347236,75.8832,14.4631,-8.69221,5.0,8266
0.0016923,0.000220139,-0.000416683,91.0599,17.3557,-10.4307,6.0,8266
0.00197435,0.000256829,-0.00048613,106.237,20.2483,-12.1691,7.0,8266
0.00225751,0.000293202,-0.000555318,121.413,23.1409,-13.9075,8.0,8266
0.00258502,0.000316618,-0.000613857,136.59,26.0335,-15.646,9.0,8266
0.0032009,0.000248449,-0.000594184,151.766,28.9261,-17.3844,10.0,8266
0.00469518,-0.000163412,-0.000257305,166.943,31.8187,-19.1229,11.0,8266
0.00781444,-0.00137046,0.000860866,182.12,34.7113,-20.8613,12.0,8266
0.0127399,-0.00357625,0.00298761,197.296,37.6039,-22.5998,13.0,8266
0.0185804,-0.00629096,0.00562893,212.473,40.4965,-24.3382,14.0,8266
0.0238222,-0.00861504,0.00786324,227.65,43.3892,-26.0766,15.0,8266
0.0273669,-0.00997338,0.00911651,242.826,46.2818,-27.8151,16.0,8266
0.0291783,-0.0104928,0.0095477,258.003,49.1744,-29.5535,17.0,8266
0.0299366,-0.0106061,0.00960595,273.18,52.067,-31.292,18.0,8266
0.0303058,-0.0105951,0.00955772,288.356,54.9596,-33.0304,19.0,8266
0.0306019,-0.0105625,0.00949161,303.533,57.8522,-34.7689,20.0,8266
0.030888,-0.010527,0.00942311,318.71,60.7448,-36.5073,21.0,8266
0.0311718,-0.0104908,0.00935408,333.886,63.6374,-38.2457,22.0,8266
0.0314548,-0.0104544,0.00928486,349.063,66.53,-39.9842,23.0,8266
0.0317375,-0.0104179,0.00921555,364.24,69.4226,-41.7226,24.0,8266
0.0320199,-0.0103813,0.0091462,379.416,72.3153,-43.4611,25.0,8266
0.0323023,-0.0103447,0.00907682,394.593,75.2079,-45.1995,26.0,8266
0.0325845,-0.0103081,0.00900743,409.769,78.1005,-46.938,27.0,8266
0.0328668,-0.0102714,0.00893802,424.946,80.9931,-48.6764,28.0,8266
0.033149,-0.0102348,0.00886861,440.123,83.8857,-50.4148,29.0,8266
0.0334311,-0.0101981,0.00879919,455.299,86.7783,-52.1533,30.0,8266
